1
64;72.00;3.01;27.00;-127.00;2;2026-01-20 16:06:10
67;72.00;3.00;27.00;28.06;2;2026-01-20 16:06:12
66;72.00;3.01;27.00;28.00;3;2026-01-20 16:06:15
66;72.00;3.01;27.00;28.00;3;2026-01-20 16:06:17
66;72.00;3.01;27.00;28.00;3;2026-01-20 16:06:20
66;72.00;3.01;27.00;28.00;3;2026-01-20 16:06:23
66;72.00;3.01;27.00;28.06;3;2026-01-20 16:06:25
64;72.00;3.00;27.00;-127.00;3;2026-01-20 16:06:28
66;72.00;3.01;27.00;28.06;3;2026-01-20 16:06:31
66;72.00;3.00;27.00;-127.00;3;2026-01-20 16:06:33
67;72.00;3.00;27.00;28.00;3;2026-01-20 16:06:36
66;72.00;3.00;27.00;-127.00;3;2026-01-20 16:06:39
67;72.00;3.01;27.00;28.00;2;2026-01-20 16:06:41
67;72.00;3.01;27.00;27.94;3;2026-01-20 16:06:44
66;71.00;3.01;27.00;27.94;3;2026-01-20 16:06:46
67;72.00;3.03;27.00;28.00;3;2026-01-20 16:06:49
67;72.00;3.03;27.00;27.94;3;2026-01-20 16:06:52
66;72.00;3.01;27.00;27.94;3;2026-01-20 16:06:54
67;71.00;3.01;27.00;27.94;3;2026-01-20 16:06:57
67;71.00;3.01;26.90;27.94;3;2026-01-20 16:07:00
67;71.00;3.01;26.90;27.87;3;2026-01-20 16:07:02
66;71.00;3.01;27.00;27.87;3;2026-01-20 16:07:05
69;72.00;3.01;26.90;27.87;3;2026-01-20 16:07:08
67;71.00;3.01;27.00;27.94;3;2026-01-20 16:07:10
69;71.00;3.03;27.00;27.94;3;2026-01-20 16:07:13
69;71.00;3.03;27.00;27.87;3;2026-01-20 16:07:16
79;71.00;3.06;27.00;27.75;3;2026-01-20 16:07:18
79;71.00;3.07;27.00;27.81;3;2026-01-20 16:07:21
77;71.00;3.06;26.90;27.81;3;2026-01-20 16:07:24
75;71.00;3.06;27.00;27.81;3;2026-01-20 16:07:26
75;71.00;3.04;26.90;27.81;3;2026-01-20 16:07:29
56;71.00;3.03;26.90;27.81;3;2026-01-20 16:07:32
73;71.00;3.03;26.90;27.81;3;2026-01-20 16:07:34
77;71.00;3.03;26.90;27.81;3;2026-01-20 16:07:37
73;71.00;3.03;27.00;27.75;3;2026-01-20 16:07:40
71;71.00;3.04;26.90;27.81;3;2026-01-20 16:07:42
69;71.00;3.03;27.00;27.81;3;2026-01-20 16:07:45
69;71.00;3.03;26.90;27.81;3;2026-01-20 16:07:48
75;71.00;3.03;26.90;27.81;3;2026-01-20 16:07:50
67;71.00;3.04;26.90;27.87;3;2026-01-20 16:07:53
71;71.00;3.01;27.00;27.75;3;2026-01-20 16:07:56
71;71.00;3.03;27.00;27.81;3;2026-01-20 16:07:58
73;71.00;3.03;26.90;27.81;3;2026-01-20 16:08:01
71;71.00;3.03;27.00;27.81;3;2026-01-20 16:08:04
73;71.00;3.03;27.00;27.81;3;2026-01-20 16:08:06
77;71.00;3.03;27.00;27.75;3;2026-01-20 16:08:09
69;71.00;3.03;27.00;27.75;3;2026-01-20 16:08:12
73;71.00;3.03;26.90;27.75;3;2026-01-20 16:08:14
71;71.00;3.01;27.00;27.75;3;2026-01-20 16:08:17
71;71.00;3.03;26.90;27.75;3;2026-01-20 16:08:20
69;71.00;3.03;26.90;27.69;3;2026-01-20 16:08:22
73;71.00;3.03;27.00;27.69;3;2026-01-20 16:08:25
73;71.00;3.03;26.90;27.75;3;2026-01-20 16:08:28
66;71.00;3.03;26.90;27.75;3;2026-01-20 16:08:30
73;71.00;3.03;26.90;27.75;4;2026-01-20 16:08:33
